Model,BLEU Score,Token Accuracy (%),Exact Match (%),Parameters
Vanilla RNN,6.004674110917214,8.05292769976466,0.0,4108168
LSTM,2.109779424841397,7.373408350607049,0.0,4897672
LSTM + Attention,13.310935780343325,11.478577996664745,0.0,5291400
